Terminal Current [C],Cycle,SOH(measured),Stage1 [C],Stage2 [C],S1 [s],S2 [s],S3 [s],Total,r_soh,r_time,r_soh_val,delta_soh,Avg Temp [°C],Throughput [Ah],Discharge Cap [Ah],Terminal V [V],LLI [%],LAM_neg [%],LAM_pos [%],py
0.02,28.0,0.936772,0.6,1.1,1200.0,1520.65,2894.2,0.299524,0.249584,0.0,0.998452,0.552421,14.49,294.5352,4.5573,2.8326,4.820852,3.469258,3.34927,
0.1,29.0,0.921807,3.2,3.7,0.0,27.14,2554.92,0.599367,0.0,0.999986,0.996863,2.247223,25.38,303.508,4.4845,2.8333,5.078645,3.658405,3.53451,
0.05,30.0,0.928544,3.0,2.8,0.0,600.62,2575.0,0.598756,0.003283,0.994748,0.997717,0.772171,22.64,312.5498,4.5173,2.8335,5.166924,3.722808,3.594811,
0.1,31.0,0.919779,1.9,2.4,6.35,752.92,2193.96,0.6129,0.034546,0.999429,0.996549,0.658586,22.02,321.5054,4.4746,2.8338,5.241631,3.777325,3.64533,
0.1,32.0,0.918903,2.8,1.6,0.09,1330.03,2157.55,0.618877,0.15584,0.893152,0.996403,0.580453,18.84,330.4507,4.4704,2.8339,5.307147,3.825076,3.689107,
0.1,33.0,0.918163,3.4,2.8,0.0,597.52,2193.85,0.600339,0.002822,0.999887,0.996276,0.779404,24.01,339.3914,4.4668,2.8342,5.393094,3.887936,3.747981,
0.1,34.0,0.917231,2.4,2.7,0.75,630.64,2192.61,0.601265,0.005264,0.999843,0.996108,0.749597,23.08,348.3228,4.4622,2.8344,5.474849,3.947732,3.803801,
0.02,35.0,0.928184,3.9,3.1,0.0,499.64,3034.07,0.535795,1.2e-05,0.840637,0.997678,1.038985,21.75,357.3615,4.5155,2.8347,5.585564,4.028826,3.880807,
0.1,36.0,0.915068,3.7,2.8,0.0,594.12,2191.45,0.599792,0.00174,0.999893,0.995691,0.802471,24.05,366.2722,4.4517,2.8349,5.670441,4.09098,3.939005,
0.05,37.0,0.92209,2.4,2.4,0.72,749.42,2573.97,0.595666,0.013493,0.97722,0.996905,0.704381,20.98,375.2498,4.4859,2.8351,5.744559,4.145178,3.989166,
0.1,38.0,0.913314,2.3,1.8,1.11,1122.08,2174.59,0.622249,0.075561,0.982401,0.99532,0.61925,19.69,384.1412,4.4432,2.8353,5.809365,4.192565,4.032624,
0.1,39.0,0.912617,1.8,2.2,8.67,840.85,2189.35,0.610757,0.030653,0.998657,0.995164,0.664471,21.29,393.0262,4.4398,2.8355,5.878048,4.242845,4.078976,
0.1,40.0,0.911703,2.4,3.0,0.71,525.04,2191.19,0.598996,6.8e-05,0.999946,0.994951,0.956673,23.91,401.9041,4.4354,2.8358,5.974523,4.313673,4.145889,
0.05,41.0,0.916933,3.4,3.8,0.0,22.21,2924.18,0.598997,0.0,0.999467,0.996053,2.425339,23.73,410.8443,4.4608,2.8364,6.209153,4.486452,4.314835,
0.02,42.0,0.918697,2.7,3.9,0.15,19.72,3383.55,0.579674,0.0,0.951002,0.996368,2.45929,21.61,419.8064,4.4694,2.837,6.439623,4.656228,4.480754,
0.1,43.0,0.904164,2.0,4.0,3.77,15.61,2547.61,0.598556,0.0,0.999988,0.992804,2.461945,24.63,428.6287,4.3987,2.8376,6.663318,4.821219,4.642033,
0.1,44.0,0.903169,3.9,1.9,0.0,1024.27,2173.25,0.606443,0.026408,0.993471,0.992459,0.671778,20.65,437.4208,4.3938,2.8378,6.725334,4.866734,4.683698,
0.1,45.0,0.901066,2.4,3.9,0.63,18.75,2543.1,0.598331,0.0,0.999989,0.991678,2.475122,24.62,446.2086,4.3836,2.8384,6.9422,5.026865,4.840144,
0.02,46.0,0.911825,0.7,2.8,1028.57,44.38,3360.03,0.199258,0.0,0.000655,0.99498,1.424056,17.43,455.0948,4.4359,2.8387,7.065724,5.117877,4.927261,
0.05,47.0,0.906693,1.2,2.2,189.63,720.33,2570.89,0.5602,0.004212,0.899484,0.99361,0.760271,20.01,463.9225,4.411,2.8389,7.132229,5.166796,4.972276,
0.1,48.0,0.897979,4.0,2.0,0.0,944.7,2173.41,0.60201,0.012796,0.997038,0.990382,0.706939,21.01,472.6648,4.3686,2.8391,7.193702,5.212077,5.013748,
0.1,49.0,0.895981,3.4,3.4,0.0,38.92,2525.06,0.597883,0.0,0.999988,0.989438,2.471586,25.25,481.3961,4.3589,2.8397,7.398384,5.363443,5.161476,
0.1,50.0,0.893672,1.6,4.0,15.36,10.98,2541.64,0.597642,0.0,0.999988,0.988234,2.577637,24.54,490.1225,4.3476,2.8402,7.606599,5.517488,5.311911,
0.1,51.0,0.892458,0.9,2.8,617.02,324.3,2244.42,0.595186,0.0,0.994191,0.987547,1.250389,20.91,498.8125,4.3417,2.8405,7.707235,5.591866,5.382562,
0.05,52.0,0.899441,2.5,2.8,0.35,564.04,2553.61,0.597032,3.1e-05,0.997041,0.991018,0.995077,22.27,507.5707,4.3757,2.8407,7.787154,5.6509,5.437755,
0.02,53.0,0.90315,3.0,1.8,0.0,1079.84,3016.81,0.208133,0.005519,0.018588,0.992453,0.747338,18.32,516.3628,4.3937,2.8409,7.847455,5.695377,5.478347,
0.1,54.0,0.890002,1.9,2.8,4.88,559.0,2171.64,0.597194,3.1e-05,0.999935,0.986034,0.993629,23.59,525.029,4.3298,2.8411,7.925943,5.753468,5.532701,
0.02,55.0,0.900933,0.8,3.3,792.7,11.71,3370.78,0.201749,0.0,0.008561,0.991625,1.559471,18.09,533.8099,4.383,2.8415,8.046437,5.84263,5.618074,
0.05,56.0,0.894394,2.7,3.9,0.1,18.0,2908.44,0.59755,0.0,0.999563,0.988624,2.588597,23.12,542.5405,4.3511,2.842,8.241121,5.986953,5.758767,
0.1,57.0,0.884859,2.1,3.3,1.99,396.38,2189.75,0.596445,0.0,0.999985,0.982257,2.091994,25.09,551.1593,4.3048,2.8424,8.395955,6.10181,5.870039,
0.05,58.0,0.892255,4.0,0.8,0.0,2700.0,2562.08,0.209232,0.029366,0.0,0.987429,0.666576,14.53,559.8483,4.3407,2.8426,8.44667,6.13926,5.903719,
0.02,59.0,0.894381,3.0,3.4,0.0,30.9,3363.06,0.579814,0.0,0.955226,0.988618,2.603003,21.89,568.5565,4.3511,2.8431,8.634379,6.278568,6.039391,
0.05,60.0,0.889737,2.4,0.6,0.49,3600.0,2573.21,0.212269,0.037742,0.0,0.985861,0.654215,13.25,577.2229,4.3285,2.8433,8.683008,6.31452,6.071601,
0.05,61.0,0.887412,1.5,3.4,19.69,22.43,2900.7,0.596643,0.0,0.999485,0.984243,2.654299,23.05,585.8659,4.3172,2.8438,8.869722,6.453237,6.206755,
0.02,62.0,0.889752,2.9,4.0,0.0,15.02,3368.49,0.58097,0.0,0.959488,0.985871,2.646122,21.88,594.5521,4.3286,2.8443,9.052484,6.589036,6.338961,
0.02,63.0,0.889197,3.7,1.7,0.0,1139.36,3009.84,0.202493,0.002407,0.011075,0.9855,0.786992,18.07,603.2083,4.3259,2.8445,9.108106,6.630283,6.376435,
0.05,64.0,0.882756,1.5,3.5,18.93,18.62,2899.32,0.595894,0.0,0.999515,0.980437,2.6903,23.03,611.8158,4.2945,2.845,9.289483,6.765237,6.507868,
0.05,65.0,0.880788,1.7,3.9,9.07,12.52,2900.77,0.595546,0.0,0.999581,0.978569,2.686115,23.04,620.4134,4.285,2.8455,9.467463,6.897703,6.636827,
0.1,66.0,0.872537,3.0,1.1,0.0,1963.64,2110.2,0.207752,0.011811,0.02324,0.968659,0.710801,16.7,628.9071,4.2448,2.8456,9.515899,6.933728,6.669244,
0.05,67.0,0.878334,2.4,4.0,0.43,14.02,2897.31,0.595048,0.0,0.999623,0.975995,2.660209,23.05,637.4866,4.273,2.8461,9.68846,7.062286,6.794313,
0.1,68.0,0.868595,1.7,3.8,8.74,14.19,2516.02,0.592492,0.0,0.999991,0.962476,2.683123,24.7,645.9623,4.2256,2.8466,9.859613,7.189903,6.918544,
0.02,69.0,0.87998,2.7,2.8,0.04,534.4,3001.11,0.530808,0.0,0.838143,0.977753,1.19768,21.13,654.5315,4.281,2.8468,9.93668,7.247294,6.972255,
0.05,70.0,0.874739,3.7,2.8,0.0,533.19,2531.76,0.593637,1e-06,0.998257,0.971671,1.190254,22.77,663.0494,4.2555,2.847,10.012665,7.303996,7.025329,
0.1,71.0,0.865423,2.5,3.2,0.24,399.61,2172.51,0.591328,0.0,0.999987,0.956666,2.075086,24.99,671.4777,4.2102,2.8474,10.141954,7.400544,7.118446,
0.05,72.0,0.873242,3.8,0.3,0.0,7200.0,2512.13,0.207004,0.032681,0.0,0.969656,0.661321,11.37,679.9857,4.2482,2.8476,10.184624,7.432274,7.146601,
0.05,73.0,0.871002,3.5,3.5,0.0,24.42,2885.81,0.593127,0.0,0.999629,0.966378,2.681923,23.52,688.4737,4.2373,2.848,10.348318,7.554515,7.265418,
0.05,74.0,0.86921,3.0,3.6,0.0,22.09,2885.02,0.592559,0.0,0.99964,0.963513,2.689246,23.52,696.9487,4.2286,2.8485,10.51012,7.675376,7.38287,
0.02,75.0,0.871817,2.0,3.9,2.36,13.76,3357.66,0.578766,0.0,0.96311,0.967609,2.722933,21.61,705.4626,4.2413,2.8489,10.671672,7.796077,7.500134,
0.1,76.0,0.85899,2.3,2.5,0.58,626.81,2155.76,0.588397,2.4e-05,0.999896,0.942146,1.007489,23.13,713.8257,4.1789,2.8491,10.732317,7.841517,7.542069,
0.05,77.0,0.866208,2.0,1.9,2.29,939.71,2542.36,0.550383,0.000599,0.89627,0.958179,0.853334,19.67,722.2578,4.214,2.8493,10.783907,7.880125,7.577087,
0.1,78.0,0.857666,1.9,2.7,3.54,551.39,2150.82,0.587708,1e-06,0.999952,0.938637,1.154482,23.6,730.6087,4.1725,2.8495,10.85237,7.931467,7.624948,
0.1,79.0,0.855809,3.3,3.5,0.0,23.81,2497.95,0.586673,0.0,0.999992,0.933378,2.68392,25.32,738.9504,4.1634,2.8499,11.00697,8.04722,7.737424,
0.02,80.0,0.867181,2.1,2.9,1.39,481.02,3001.57,0.550645,0.0,0.896622,0.959984,1.447103,21.19,747.3944,4.2188,2.8502,11.090754,8.109913,7.796564,
0.05,81.0,0.861933,2.1,2.8,1.38,513.07,2526.52,0.589308,0.0,0.998628,0.949281,1.30062,22.52,755.7865,4.1932,2.8504,11.165723,8.166132,7.849266,
0.01,82.0,0.86729,1.6,2.2,10.98,746.43,3384.99,0.196796,5.5e-05,0.011845,0.960182,0.967361,18.89,764.2303,4.2193,2.8506,11.221885,8.20822,7.887752,
0.02,83.0,0.865053,3.8,2.5,0.0,619.01,3004.14,0.464469,6e-06,0.6832,0.955934,1.076535,20.78,772.6521,4.2084,2.8508,11.283776,8.254651,7.93061,
0.1,84.0,0.852273,3.4,2.0,0.0,864.9,2164.07,0.584112,0.000401,0.998783,0.922193,0.872417,21.48,780.9487,4.1462,2.8509,11.334029,8.292461,7.964956,
0.02,85.0,0.863631,3.0,2.8,0.0,510.22,2999.26,0.538791,0.0,0.870472,0.953012,1.339466,21.6,789.3573,4.2015,2.8512,11.409737,8.349239,8.018201,
0.05,86.0,0.858549,0.1,2.3,7200.0,296.89,2676.16,0.1882,0.0,0.0,0.940998,1.458269,12.73,797.7159,4.1768,2.8514,11.491363,8.410488,8.076013,
0.1,87.0,0.848896,3.7,3.4,0.0,25.57,2497.15,0.581983,0.0,0.999992,0.90993,2.699439,25.28,805.9881,4.1298,2.8518,11.638966,8.521287,8.1836,
0.05,88.0,0.855019,3.2,3.4,0.0,25.42,2872.29,0.586072,0.0,0.999672,0.931017,2.715815,23.69,814.3195,4.1596,2.8523,11.785845,8.631476,8.29051,
0.05,89.0,0.854522,3.8,2.0,0.0,855.18,2542.47,0.567431,0.000208,0.953624,0.929491,0.903705,20.53,822.6383,4.1572,2.8524,11.835916,8.66914,8.324674,
0.1,90.0,0.845896,1.2,2.8,56.45,475.64,2156.33,0.579505,0.0,0.99996,0.897605,1.414925,24.37,830.8743,4.1152,2.8527,11.912471,8.726792,8.378968,
0.1,91.0,0.845223,3.5,2.5,0.0,608.09,2152.76,0.578897,6e-06,0.999917,0.894639,1.07308,23.6,839.1029,4.1119,2.8528,11.970798,8.770742,8.419523,
0.05,92.0,0.852504,2.4,1.8,0.29,989.24,2543.6,0.521314,0.000394,0.841404,0.922974,0.873313,19.42,847.4014,4.1474,2.853,12.018589,8.806731,8.452027,
0.02,93.0,0.855247,2.3,3.9,0.47,13.17,3350.79,0.572858,0.0,0.966292,0.931706,2.757755,21.54,855.768,4.1607,2.8534,12.163387,8.915538,8.557555,
0.1,94.0,0.841581,2.4,3.1,0.27,40.06,2485.79,0.575449,0.0,0.999992,0.877263,2.65301,24.61,863.965,4.0942,2.8538,12.30113,9.019178,8.658037,
0.05,95.0,0.847736,2.4,3.5,0.27,21.92,2870.91,0.580941,0.0,0.999687,0.905332,2.735569,23.14,872.2321,4.1242,2.8543,12.441717,9.124894,8.760537,
0.1,96.0,0.839389,2.2,2.4,0.71,638.77,2154.32,0.573089,1.1e-05,0.999884,0.865656,1.043793,22.85,880.404,4.0836,2.8544,12.496287,9.166124,8.798411,
0.1,97.0,0.838728,0.8,2.5,649.12,354.08,2229.74,0.568684,0.0,0.99072,0.861979,1.329178,20.37,888.57,4.0803,2.8546,12.564863,9.217884,8.846863,
0.05,98.0,0.846025,0.1,1.9,7200.0,475.58,2614.61,0.179634,4e-06,0.0,0.898164,1.093954,12.46,896.8062,4.1158,2.8548,12.621535,9.260614,8.886206,
0.05,99.0,0.844832,0.8,3.5,644.75,3.56,2898.56,0.507455,0.0,0.822196,0.892883,1.78027,19.48,905.0515,4.11,2.8551,12.711795,9.328687,8.950963,
0.1,100.0,0.835528,3.9,3.5,0.0,21.5,2496.52,0.56859,0.0,0.999993,0.842966,2.726737,25.22,913.2022,4.0648,2.8555,12.847624,9.431087,9.050266,
0.02,101.0,0.846151,1.5,3.4,13.52,18.33,3348.52,0.564018,0.0,0.960691,0.898708,2.799847,21.49,921.4524,4.1164,2.8559,12.985826,9.535168,9.151146,
0.1,102.0,0.832663,1.1,3.2,129.88,15.21,2500.54,0.564826,0.0,0.999974,0.824183,2.461771,23.61,929.5774,4.0508,2.8563,13.106299,9.626102,9.238967,
0.1,103.0,0.832075,1.6,1.6,9.17,1128.3,2158.86,0.557331,0.00062,0.982649,0.820116,0.851694,19.62,937.6769,4.048,2.8564,13.14917,9.658584,9.268138,
0.1,104.0,0.831579,0.8,1.6,625.92,813.93,2176.92,0.442186,0.000328,0.696823,0.816629,0.882058,18.3,945.7716,4.0456,2.8566,13.193324,9.692088,9.29834,
0.1,105.0,0.83025,2.1,3.2,1.02,29.12,2491.76,0.561403,0.0,0.999992,0.807028,2.709773,24.54,953.8577,4.0391,2.8569,13.323723,9.790574,9.393768,
0.05,106.0,0.83781,2.5,0.7,0.1,3085.71,2442.33,0.173041,0.004237,0.0,0.85673,0.759983,13.99,962.0138,4.0759,2.8571,13.361751,9.819323,9.419164,
0.1,107.0,0.82922,1.3,2.1,27.28,749.68,2162.84,0.559688,5.4e-05,0.999501,0.799332,0.968312,21.72,970.0857,4.0341,2.8572,13.409258,9.855457,9.452013,
0.05,108.0,0.836441,3.7,2.4,0.0,623.98,2531.4,0.568004,3e-06,0.995706,0.848602,1.108891,22.04,978.2287,4.0692,2.8574,13.463298,9.896421,9.48963,
0.05,109.0,0.835589,3.9,2.8,0.0,477.28,2523.94,0.568301,0.0,0.999078,0.843351,1.560832,23.38,986.3649,4.0651,2.8576,13.538117,9.95308,9.543007,
0.1,110.0,0.826437,2.4,3.5,0.21,20.11,2496.48,0.555474,0.0,0.999993,0.777384,2.735595,24.52,994.436,4.0205,2.858,13.666612,10.050249,9.637158,
0.05,111.0,0.832746,2.1,3.1,0.96,33.1,2863.25,0.56482,0.0,0.999674,0.824752,2.708715,23.08,1002.5451,4.0512,2.8584,13.792871,10.145663,9.729478,
0.05,112.0,0.832159,3.0,2.5,0.0,579.87,2526.17,0.56309,0.0,0.997374,0.820701,1.199129,22.36,1010.6468,4.0484,2.8586,13.849613,10.188722,9.769231,
0.1,113.0,0.823024,3.9,3.9,0.0,11.64,2500.9,0.549637,0.0,0.999993,0.7482,2.732748,25.14,1018.6891,4.0039,2.859,13.975251,10.283848,9.861365,
0.05,114.0,0.830141,1.8,2.5,3.75,574.24,2526.38,0.560213,0.0,0.997417,0.806229,1.209109,21.98,1026.7718,4.0386,2.8592,14.031768,10.326737,9.900964,
0.05,115.0,0.829592,3.0,2.3,0.0,656.13,2535.8,0.557959,5e-06,0.993823,0.802138,1.083364,21.85,1034.848,4.0359,2.8593,14.082413,10.365263,9.93619,
0.1,116.0,0.821991,2.1,0.3,0.9,7200.0,2040.94,0.153568,0.014479,0.0,0.73888,0.700974,11.36,1042.8545,3.9989,2.8594,14.115781,10.390646,9.958422,
0.02,117.0,0.832283,3.4,3.0,0.0,37.93,3340.31,0.54891,0.0,0.961491,0.821566,2.711273,21.85,1050.9573,4.049,2.8598,14.238375,10.483504,10.048185,
0.02,118.0,0.830895,1.5,3.3,11.91,19.68,3351.11,0.546269,0.0,0.959803,0.811736,2.805926,21.44,1059.0637,4.0422,2.8602,14.364155,10.578756,10.140366,
0.1,119.0,0.818067,1.6,2.0,8.12,797.56,2164.53,0.540059,6.3e-05,0.999324,0.70152,0.960867,21.44,1067.0275,3.9798,2.8603,14.408261,10.612427,10.170837,
0.05,120.0,0.825797,3.0,0.6,0.0,3600.0,2415.01,0.156066,0.004117,0.0,0.772098,0.761353,13.44,1075.067,4.0174,2.8605,14.443659,10.639373,10.194531,
0.01,121.0,0.830729,2.3,2.8,0.31,460.38,3385.36,0.237462,0.0,0.18839,0.810533,1.736751,20.31,1083.1558,4.0414,2.8607,14.521391,10.698433,10.250362,
0.05,122.0,0.823319,2.0,3.6,1.37,15.72,2873.79,0.550041,0.0,0.999694,0.750818,2.765673,23.04,1091.1961,4.0054,2.8611,14.643057,10.790736,10.33966,
0.02,123.0,0.827233,0.5,2.3,1440.0,95.53,3350.08,0.156769,0.0,7e-06,0.783829,1.538812,16.29,1099.2498,4.0244,2.8613,14.711345,10.842603,10.388316,
0.1,124.0,0.813522,2.2,3.2,0.5,27.29,2492.5,0.53093,0.0,0.999992,0.654663,2.727423,24.47,1107.1816,3.9577,2.8617,14.829792,10.932597,10.475399,
0.1,125.0,0.812756,3.7,2.7,0.0,488.61,2147.74,0.529275,0.0,0.999976,0.646423,1.512399,24.65,1115.0949,3.954,2.8619,14.896005,10.983033,10.522743,
0.1,126.0,0.812014,1.9,2.7,2.1,486.23,2147.74,0.527662,0.0,0.999976,0.63836,1.525152,24.07,1123.0011,3.9504,2.8621,14.962462,11.03369,10.570316,
0.01,127.0,0.824518,2.9,3.5,0.0,18.23,3734.82,0.300416,0.0,0.370402,0.761275,2.793252,20.61,1131.0494,4.0112,2.8625,15.08199,11.124404,10.658009,
0.02,128.0,0.822633,2.0,1.7,1.26,996.93,3042.39,0.161816,7.6e-05,0.032113,0.7447,0.951791,18.35,1139.0571,4.002,2.8626,15.123884,11.156411,10.686749,
0.1,129.0,0.808981,3.2,3.9,0.0,10.49,2502.19,0.520924,0.0,0.999993,0.604636,2.738454,25.08,1146.9622,3.9356,2.863,15.239707,11.244558,10.772025,
0.01,130.0,0.821968,0.8,3.7,548.45,0.79,3767.71,0.14857,0.0,0.002088,0.738674,1.900917,18.11,1154.9958,3.9988,2.8632,15.320434,11.305938,10.83027,
0.05,131.0,0.815525,3.0,1.3,0.0,1436.46,2540.21,0.158956,0.00036,0.059154,0.675754,0.877604,17.79,1162.9334,3.9675,2.8633,15.358598,11.335188,10.856319,
0.1,132.0,0.806384,2.7,3.3,0.0,23.15,2495.44,0.514981,0.0,0.999993,0.574917,2.739072,25.08,1170.8003,3.923,2.8637,15.472764,11.422143,10.940426,
0.02,133.0,0.817371,1.8,3.9,3.11,8.69,3362.34,0.52411,0.0,0.96298,0.69459,2.783019,21.23,1178.7886,3.9764,2.8641,15.588117,11.509846,11.025165,
0.05,134.0,0.811606,1.5,3.1,10.49,24.44,2871.85,0.526636,0.0,0.999641,0.6339,2.763944,22.98,1186.7009,3.9484,2.8644,15.701791,11.596402,11.108809,
0.02,135.0,0.815805,2.0,1.7,1.14,982.35,3049.58,0.149566,6.2e-05,0.03453,0.678648,0.961437,18.44,1194.6421,3.9688,2.8646,15.742521,11.627586,11.136775,
0.02,136.0,0.815305,3.4,1.9,0.0,838.05,3044.46,0.190234,2.1e-05,0.138827,0.673476,1.013441,19.42,1202.5788,3.9664,2.8647,15.785188,11.660321,11.166302,
0.05,137.0,0.810293,2.0,1.9,1.13,835.95,2559.55,0.505518,3.2e-05,0.954077,0.619371,0.992284,20.07,1210.4667,3.942,2.8649,15.826846,11.692333,11.195152,
0.05,138.0,0.809327,1.4,2.8,14.81,425.86,2537.43,0.521415,0.0,0.999268,0.608537,1.986598,23.13,1218.3467,3.9373,2.8651,15.907992,11.754314,11.254119,
0.1,139.0,0.80081,1.8,2.5,2.94,542.41,2148.47,0.501899,0.0,0.999957,0.509579,1.31735,23.53,1226.1432,3.8959,2.8653,15.962164,11.795864,11.292647,
0.05,140.0,0.807492,2.2,3.7,0.4,12.68,2879.55,0.517412,0.0,0.999688,0.587682,2.755266,22.98,1234.0309,3.9284,2.8656,16.072975,11.880337,11.374245,
0.1,141.0,0.798668,0.9,3.7,324.31,1.49,2517.72,0.496775,0.0,0.999809,0.484255,2.062678,22.15,1241.8373,3.8854,2.8659,16.155846,11.943678,11.434703,
0.05,142.0,0.805706,3.9,2.8,0.0,428.6,2537.13,0.513154,0.0,0.999353,0.567062,1.992358,23.63,1249.6823,3.9197,2.8662,16.235673,12.004666,11.492706,
0.05,143.0,0.805286,2.5,2.0,0.01,766.64,2559.15,0.50318,1.6e-05,0.976844,0.56218,1.027292,20.5,1257.5216,3.9176,2.8663,16.277621,12.036914,11.521833,
0.05,144.0,0.804347,3.9,2.8,0.0,426.56,2537.98,0.509989,0.0,0.999361,0.551224,2.023209,23.65,1265.3534,3.9131,2.8666,16.358029,12.098433,11.580385,
0.02,145.0,0.808388,2.0,2.3,1.03,616.06,3029.34,0.371909,0.0,0.630821,0.597902,1.199999,20.28,1273.2234,3.9327,2.8667,16.406399,12.135551,11.614367,
0.05,146.0,0.802578,1.3,3.6,20.3,7.8,2886.98,0.505934,0.0,0.99961,0.530452,2.811536,22.7,1281.0633,3.9045,2.8671,16.516447,12.219633,11.695625,
0.1,147.0,0.793557,1.8,3.2,2.7,22.75,2495.97,0.484876,0.0,0.999992,0.424397,2.735317,24.39,1288.8005,3.8606,2.8674,16.622823,12.30095,11.774205,
0.1,148.0,0.792373,1.5,4.0,9.48,4.53,2507.62,0.482153,0.0,0.999992,0.410778,2.758224,24.34,1296.5532,3.8548,2.8678,16.729429,12.382435,11.852968,
0.05,149.0,0.799069,1.9,3.5,1.61,15.0,2881.71,0.497666,0.0,0.99967,0.488987,2.754965,22.74,1304.3558,3.8874,2.8681,16.83535,12.463377,11.931102,
0.05,150.0,0.79791,2.9,3.3,0.0,20.67,2879.17,0.494926,0.0,0.999665,0.475302,2.751118,23.47,1312.1388,3.8818,2.8685,16.940458,12.543764,12.00869,
0.05,151.0,0.796755,1.9,3.4,1.56,16.98,2881.52,0.492207,0.0,0.999664,0.461706,2.757397,22.74,1319.9159,3.8761,2.8688,17.045166,12.623876,12.086012,
0.02,152.0,0.800145,2.4,3.7,0.06,11.77,3370.42,0.484334,0.0,0.959975,0.501718,2.770891,21.2,1327.7365,3.8926,2.8691,17.149807,12.703924,12.163234,
0.1,153.0,0.786955,3.3,2.5,0.0,521.99,2149.45,0.470078,0.0,0.999966,0.350459,1.412742,24.37,1335.3976,3.8285,2.8693,17.203695,12.745462,12.201874,
0.02,154.0,0.798409,3.0,3.2,0.0,23.04,3366.04,0.479147,0.0,0.957272,0.481193,2.766647,21.57,1343.1834,3.8842,2.8697,17.307255,12.824719,12.278317,
0.02,155.0,0.797829,3.4,2.5,0.0,519.01,3030.15,0.422398,0.0,0.818819,0.47435,1.468935,21.21,1350.9501,3.8814,2.8698,17.362877,12.867512,12.318091,
0.1,156.0,0.784511,2.9,1.7,0.0,944.67,2171.94,0.463785,7.4e-05,0.997082,0.324613,0.953017,20.76,1358.5867,3.8166,2.87,17.39937,12.895826,12.343472,
0.05,157.0,0.792353,1.6,2.2,5.89,637.64,2554.97,0.479471,1e-06,0.993406,0.410542,1.154558,21.39,1366.3003,3.8547,2.8701,17.443241,12.929692,12.374333,
0.02,158.0,0.795774,2.9,3.2,0.0,22.64,3368.43,0.472619,0.0,0.956451,0.450193,2.770098,21.56,1374.0618,3.8714,2.8705,17.545521,13.008088,12.44994,
0.1,159.0,0.782521,2.0,2.0,0.85,740.23,2165.74,0.460728,1.2e-05,0.999641,0.304335,1.040307,21.78,1381.6792,3.8069,2.8706,17.584808,13.038541,12.477484,
0.1,160.0,0.782083,2.8,2.5,0.0,514.23,2150.31,0.459979,0.0,0.999968,0.299959,1.446177,24.47,1389.2929,3.8048,2.8708,17.638621,13.080071,12.516163,
0.05,161.0,0.789067,1.6,3.5,5.73,12.12,2888.13,0.474562,0.0,0.999644,0.373523,2.762806,22.7,1397.002,3.8387,2.8711,17.739517,13.157451,12.590822,
0.05,162.0,0.789823,0.9,0.1,266.1,21600.0,1734.33,0.076578,0.000482,0.0,0.381929,0.863698,10.33,1404.6927,3.8424,2.8712,17.772286,13.182567,12.613106,
0.1,163.0,0.779762,0.8,3.0,444.85,9.87,2518.44,0.455207,0.0,0.999303,0.277429,1.934645,21.36,1412.2999,3.7935,2.8715,17.842841,13.23701,12.664806,
0.05,164.0,0.786852,1.9,2.8,1.35,38.9,2874.09,0.469716,0.0,0.999613,0.349354,2.66559,22.92,1419.9612,3.828,2.8718,17.939184,13.310961,12.736039,
0.02,165.0,0.790342,3.8,4.0,0.0,6.98,3380.75,0.460675,0.0,0.957819,0.387736,2.755338,21.54,1427.6936,3.8449,2.8721,18.03822,13.386977,12.809311,
0.05,166.0,0.785138,2.6,2.5,0.0,506.92,2544.12,0.465624,0.0,0.998483,0.331156,1.511208,22.9,1435.3372,3.8196,2.8723,18.093078,13.429346,12.848784,
0.02,167.0,0.789338,3.9,2.1,0.0,677.24,3062.66,0.235922,1e-06,0.401539,0.376528,1.142651,20.08,1443.0214,3.8401,2.8724,18.134949,13.461753,12.878196,
0.05,168.0,0.783603,1.8,3.6,2.14,11.3,2890.11,0.462916,0.0,0.999653,0.315276,2.751236,22.69,1450.6783,3.8122,2.8728,18.232703,13.536939,12.950707,
0.1,169.0,0.774508,1.5,3.1,8.05,20.48,2496.94,0.446086,0.0,0.999992,0.230447,2.73081,24.31,1458.2331,3.7679,2.8731,18.329175,13.611162,13.022358,
0.1,170.0,0.773749,1.4,2.0,11.68,717.07,2167.11,0.444704,9e-06,0.999678,0.224146,1.053073,21.77,1465.7655,3.7642,2.8732,18.367306,13.640768,13.049124,
0.1,171.0,0.773043,3.0,2.8,0.0,38.24,2486.87,0.443675,0.0,0.999992,0.218391,2.648257,24.96,1473.2931,3.7608,2.8735,18.460253,13.712325,13.118107,
0.05,172.0,0.780555,3.6,2.3,0.0,581.2,2550.87,0.455639,0.0,0.996596,0.285005,1.271034,22.14,1480.8926,3.7973,2.8737,18.505697,13.747491,13.150377,
0.1,173.0,0.771501,2.1,3.9,0.42,7.51,2503.26,0.441237,0.0,0.999993,0.206198,2.709815,24.3,1488.4405,3.7533,2.874,18.600039,13.820184,13.220522,
0.1,174.0,0.770452,3.7,3.4,0.0,15.73,2498.67,0.439636,0.0,0.999993,0.198194,2.70442,24.94,1495.9645,3.7482,2.8743,18.693776,13.892364,13.29016,
