Terminal Current [C],Cycle,SOH(measured),Stage1 [C],Stage2 [C],S1 [s],S2 [s],S3 [s],Total,r_soh,r_time,r_soh_val,delta_soh,Avg Temp [°C],Throughput [Ah],Discharge Cap [Ah],Terminal V [V],LLI [%],LAM_neg [%],LAM_pos [%],py
0.01,46.0,0.924205,3.6,2.7,0.0,622.91,3395.95,0.21566,0.000953,0.039597,0.997199,0.831187,19.99,458.9793,4.4962,2.8361,6.068368,4.376887,4.182781,
0.1,47.0,0.909609,2.0,1.7,3.93,1203.15,2166.09,0.611786,0.068928,0.963324,0.994428,0.623966,19.23,467.8345,4.4252,2.8363,6.130969,4.422775,4.224784,
0.05,48.0,0.916743,2.3,2.8,1.06,586.12,2571.32,0.597629,0.000492,0.99557,0.996018,0.862684,22.03,476.761,4.4599,2.8366,6.215658,4.484981,4.283019,
0.05,49.0,0.916173,3.1,0.8,0.0,2700.0,2613.36,0.258813,0.149078,0.0,0.995909,0.582945,14.46,485.6843,4.4571,2.8367,6.273314,4.527195,4.321288,
0.02,50.0,0.919758,1.4,1.5,40.15,1386.0,2997.87,0.216758,0.042905,0.000717,0.996545,0.647854,17.19,494.6377,4.4745,2.8369,6.336623,4.573585,4.363674,
0.1,51.0,0.907046,3.0,0.9,0.0,2400.0,2224.74,0.261632,0.157126,9.6e-05,0.993715,0.579989,15.32,503.471,4.4127,2.8371,6.393038,4.614952,4.401195,
0.01,52.0,0.920525,0.3,0.2,2400.0,10800.0,2312.62,0.302383,0.257624,0.0,0.996668,0.550398,10.57,512.4329,4.4783,2.8372,6.446502,4.654069,4.43633,
0.05,53.0,0.913485,3.4,1.2,0.0,1800.0,2556.21,0.231438,0.079505,0.001411,0.995357,0.616623,16.57,521.3266,4.444,2.8374,6.505592,4.697356,4.475686,
0.02,54.0,0.916229,1.3,3.2,95.87,410.99,3049.56,0.522308,0.0,0.80781,0.99592,1.557405,21.35,530.2516,4.4574,2.8378,6.64841,4.802622,4.577064,
0.02,55.0,0.915428,0.8,2.2,843.33,504.57,3075.19,0.199936,0.001234,0.000723,0.995763,0.81886,17.44,539.1645,4.4535,2.838,6.723866,4.858106,4.628597,
0.02,56.0,0.912881,3.6,3.8,0.0,21.6,3384.33,0.578974,0.0,0.949824,0.995224,2.569071,21.95,548.0654,4.4411,2.8386,6.949851,5.024986,4.791756,
0.01,57.0,0.913737,0.1,1.6,7200.0,819.85,3372.15,0.201383,0.005751,0.0,0.995412,0.745359,12.15,556.9609,4.4452,2.8388,7.01633,5.07387,4.836706,
0.05,58.0,0.905351,1.5,3.6,23.29,18.51,2922.01,0.598385,0.0,0.999365,0.993194,2.625073,23.09,565.7828,4.4045,2.8394,7.238936,5.238432,4.997623,
0.1,59.0,0.896875,2.6,1.4,0.23,1531.6,2131.5,0.450705,0.041173,0.590655,0.989871,0.649901,17.98,574.5131,4.3632,2.8396,7.295188,5.279885,5.035298,
0.02,60.0,0.908314,3.9,2.4,0.0,724.27,3032.15,0.344398,0.001374,0.362581,0.994079,0.813759,20.23,583.3564,4.4189,2.8398,7.364541,5.33104,5.082544,
0.1,61.0,0.895241,3.7,2.3,0.0,770.39,2180.38,0.599189,0.003995,0.999443,0.989066,0.76279,22.36,592.072,4.3553,2.84,7.429078,5.378732,5.126468,
0.02,62.0,0.90695,1.1,1.5,309.99,1164.9,2998.62,0.204742,0.014575,0.000437,0.993687,0.700655,16.99,600.9005,4.4122,2.8401,7.48832,5.42241,5.166254,
0.05,63.0,0.902037,3.2,0.9,0.0,2400.0,2573.16,0.220057,0.054116,3e-06,0.992048,0.636238,15.07,609.6841,4.3883,2.8403,7.541987,5.461984,5.201997,
0.05,64.0,0.901734,2.8,0.4,0.04,5400.0,2592.62,0.251009,0.131556,0.0,0.991934,0.58987,11.98,618.4697,4.3869,2.8404,7.591655,5.498592,5.2348,
0.02,65.0,0.904416,0.1,2.6,7200.0,82.79,3340.66,0.198578,0.0,0.0,0.992888,1.572089,12.62,627.2744,4.3999,2.8408,7.718174,5.592182,5.324642,
0.02,66.0,0.903475,0.9,2.5,615.54,427.95,3070.46,0.204798,3e-05,0.015681,0.992567,0.995575,18.37,636.0713,4.3953,2.841,7.798406,5.651501,5.380123,
0.02,67.0,0.902937,1.4,1.0,32.93,2160.0,2984.42,0.209631,0.02789,0.0,0.992377,0.669105,15.11,644.8623,4.3927,2.8412,7.852844,5.691702,5.416471,
0.1,68.0,0.889474,2.8,3.1,0.03,467.47,2185.75,0.597126,0.0,0.999972,0.985686,1.332797,24.59,653.5246,4.3272,2.8415,7.957425,5.76924,5.490349,
0.02,69.0,0.901025,2.6,2.0,0.2,929.6,3028.51,0.227851,0.003564,0.070234,0.991661,0.768258,18.77,662.2965,4.3834,2.8416,8.018438,5.814363,5.531627,
0.1,70.0,0.890454,0.8,0.1,791.3,21600.0,1209.59,0.207675,0.026023,0.0,0.986326,0.672495,10.42,670.9673,4.332,2.8418,8.071767,5.8537,5.56736,
0.01,71.0,0.901382,0.1,1.3,7200.0,1097.93,3314.7,0.201189,0.007074,0.0,0.9918,0.735441,11.93,679.7415,4.3851,2.842,8.129634,5.896459,5.606289,
0.02,72.0,0.899194,1.2,1.3,163.1,1510.01,2965.04,0.203455,0.013096,8.4e-05,0.990914,0.705824,16.45,688.4943,4.3745,2.8421,8.184919,5.937365,5.643371,
0.1,73.0,0.884794,2.3,3.4,0.82,34.53,2525.44,0.596436,0.0,0.999989,0.982203,2.621156,24.51,697.1132,4.3044,2.8427,8.379884,6.082148,5.784731,
0.02,74.0,0.895768,1.7,3.1,9.91,453.84,3029.75,0.55285,0.0,0.887458,0.989332,1.463716,21.46,705.8367,4.3578,2.843,8.488326,6.162596,5.861453,
0.02,75.0,0.895139,1.9,2.0,4.58,915.43,3025.48,0.230314,0.002192,0.079085,0.989014,0.791461,18.85,714.5507,4.3548,2.8432,8.547682,6.20663,5.901692,
0.1,76.0,0.881958,1.4,2.8,30.23,538.19,2174.04,0.595915,7e-06,0.999931,0.9797,1.063032,23.72,723.1389,4.2906,2.8434,8.625767,6.26471,5.956141,
0.02,77.0,0.893883,0.3,0.8,2400.0,2114.98,2758.2,0.209641,0.029929,0.0,0.988349,0.665646,12.75,731.8398,4.3487,2.8435,8.675465,6.30155,5.989208,
0.05,78.0,0.888501,0.8,2.4,770.24,414.72,2609.31,0.309152,1.6e-05,0.280353,0.985022,1.025519,18.75,740.4906,4.3225,2.8437,8.750039,6.356968,6.040932,
0.1,79.0,0.879763,1.2,2.5,150.96,581.83,2179.15,0.595414,0.000148,0.999622,0.977528,0.920072,22.21,749.0561,4.28,2.8439,8.816641,6.406549,6.086888,
0.01,80.0,0.892275,0.9,3.3,582.04,14.47,3730.29,0.198245,0.0,0.001892,0.98744,1.717818,18.17,757.7537,4.3408,2.8443,8.937824,6.496632,6.173326,
0.02,81.0,0.890235,1.8,1.4,6.49,1476.41,2984.77,0.199912,0.006223,0.000463,0.986185,0.741584,16.83,766.4193,4.3309,2.8444,8.991192,6.536291,6.209233,
0.05,82.0,0.885586,2.8,0.5,0.0,4320.0,2567.03,0.218316,0.054366,0.0,0.982846,0.636005,12.61,775.0459,4.3083,2.8446,9.037063,6.570391,6.239651,
0.02,83.0,0.889051,3.3,1.9,0.0,977.58,3023.29,0.216657,0.00191,0.047031,0.985401,0.798028,18.79,783.7007,4.3252,2.8448,9.093729,6.612552,6.27807,
0.05,84.0,0.882745,3.9,3.3,0.0,108.24,2827.9,0.595893,0.0,0.999519,0.980427,2.513857,23.7,792.2998,4.2945,2.8452,9.264552,6.739772,6.401855,
0.05,85.0,0.882002,0.5,2.2,1440.0,418.15,2628.84,0.196105,1e-05,0.000382,0.979741,1.048089,16.79,800.8871,4.2909,2.8454,9.336449,6.793317,6.451767,
0.1,86.0,0.87205,1.3,3.8,46.01,8.76,2531.83,0.593585,0.0,0.999985,0.967953,2.760516,24.28,809.394,4.2424,2.846,9.519195,6.929571,6.584737,
0.01,87.0,0.885524,1.9,0.6,4.1,3600.0,3375.71,0.204545,0.019964,0.0,0.982797,0.685412,12.91,818.0186,4.308,2.8461,9.566119,6.964461,6.615922,
0.05,88.0,0.87739,1.3,4.0,44.31,5.75,2913.21,0.594733,0.0,0.999369,0.974926,2.788003,22.87,826.5887,4.2684,2.8466,9.74678,7.099207,6.747319,
0.01,89.0,0.882694,0.2,1.9,3600.0,546.79,3433.86,0.196094,4.5e-05,0.0,0.980381,0.976444,13.63,835.1819,4.2942,2.8468,9.811053,7.147127,6.79158,
0.01,90.0,0.882274,0.8,0.7,737.7,2625.05,3074.54,0.201922,0.014807,0.0,0.979995,0.699891,13.54,843.7694,4.2922,2.8469,9.857615,7.18186,6.822627,
0.01,91.0,0.881296,2.1,2.6,1.62,601.88,3380.96,0.217801,9e-06,0.054959,0.979068,1.052515,19.72,852.35,4.2874,2.8472,9.925972,7.232912,6.870018,
0.1,92.0,0.866975,3.8,2.1,0.0,832.11,2172.33,0.591913,0.000931,0.999048,0.95961,0.832319,21.61,860.7904,4.2178,2.8473,9.980098,7.273462,6.907025,
0.1,93.0,0.865091,1.2,3.8,106.99,6.19,2523.98,0.591192,0.0,0.999976,0.956011,2.58019,23.77,869.2408,4.2086,2.8478,10.141285,7.39391,7.024218,
0.02,94.0,0.87679,1.6,2.2,12.13,764.09,3022.17,0.303787,0.000252,0.272103,0.974223,0.894534,19.47,877.7766,4.2655,2.8479,10.19835,7.436544,7.063208,
0.01,95.0,0.876364,3.7,3.9,0.0,16.0,3735.8,0.344075,0.0,0.373331,0.973712,2.779204,20.74,886.3334,4.2634,2.8484,10.368489,7.563685,7.187002,
0.02,96.0,0.87304,2.3,3.3,0.6,32.23,3358.26,0.57645,0.0,0.956438,0.969374,2.73408,21.57,894.8367,4.2473,2.8489,10.533424,7.686995,7.306979,
0.05,97.0,0.86872,0.9,0.3,527.01,7200.0,1776.48,0.21772,0.062955,0.0,0.96269,0.628586,11.61,903.2932,4.2262,2.849,10.572883,7.716512,7.332972,
0.01,98.0,0.87374,3.6,1.1,0.0,1963.64,3301.86,0.195335,0.003166,0.0,0.970341,0.773917,15.35,911.798,4.2507,2.8492,10.620778,7.752391,7.365225,
0.05,99.0,0.86742,3.3,0.8,0.0,2700.0,2509.38,0.196928,0.01211,0.0,0.960417,0.709596,14.58,920.2435,4.2199,2.8493,10.664663,7.785312,7.394586,
0.05,100.0,0.865375,3.2,3.9,0.0,15.43,2896.07,0.591164,0.0,0.999624,0.956572,2.758261,23.44,928.6943,4.21,2.8498,10.826783,7.906713,7.512735,
0.02,101.0,0.869384,2.4,1.3,0.35,1577.75,2977.65,0.193825,0.002469,0.000192,0.963802,0.785784,16.54,937.157,4.2295,2.8499,10.874354,7.942377,7.544807,
0.02,102.0,0.867462,1.9,3.5,3.51,22.24,3360.86,0.575405,0.0,0.958266,0.960492,2.788328,21.37,945.6136,4.2201,2.8504,11.035376,8.063007,7.662163,
0.02,103.0,0.867226,1.2,0.8,72.26,2700.0,2879.89,0.195041,0.007569,0.0,0.960067,0.732192,14.26,954.0559,4.219,2.8505,11.079116,8.095828,7.691413,
0.1,104.0,0.854586,2.8,0.4,0.0,5400.0,2121.59,0.202799,0.042154,0.0,0.929689,0.648731,12.06,962.3802,4.1575,2.8507,11.117856,8.12497,7.717162,
0.1,105.0,0.853515,0.3,3.8,2400.0,0.37,2576.7,0.185262,0.0,3e-06,0.926304,1.711798,15.58,970.7286,4.1523,2.8509,11.215776,8.198513,7.787417,
0.01,106.0,0.866817,0.6,0.6,1200.0,2867.88,2991.12,0.196426,0.011405,0.0,0.959318,0.712488,12.89,979.1654,4.217,2.8511,11.257818,8.23006,7.815403,
0.05,107.0,0.860436,3.3,0.6,0.0,3600.0,2509.86,0.195611,0.016145,0.0,0.945763,0.695707,13.34,987.5444,4.1859,2.8512,11.298694,8.260823,7.842671,
0.05,108.0,0.860133,3.2,0.3,0.0,7200.0,2480.63,0.202293,0.03322,0.0,0.945022,0.660515,11.36,995.924,4.1845,2.8513,11.337486,8.290005,7.868405,
0.02,109.0,0.862325,1.3,3.9,34.78,6.34,3369.74,0.569002,0.0,0.94742,0.950168,2.858006,21.26,1004.3507,4.1951,2.8518,11.496325,8.409199,7.984388,
0.02,110.0,0.860638,3.4,4.0,0.0,12.66,3361.95,0.574374,0.0,0.962811,0.94625,2.784736,21.72,1012.7664,4.1869,2.8522,11.649222,8.523965,8.095939,
0.05,111.0,0.855838,1.8,1.4,4.9,1401.71,2523.87,0.223736,0.001876,0.090732,0.933464,0.798894,17.66,1021.0968,4.1636,2.8524,11.694389,8.558018,8.126509,
0.01,112.0,0.860752,2.4,2.9,0.3,472.44,3384.49,0.258061,0.0,0.17189,0.946525,1.514664,20.26,1029.4787,4.1875,2.8526,11.777556,8.620591,8.185647,
0.01,113.0,0.860171,1.7,2.3,7.19,690.75,3391.48,0.197014,2.2e-05,0.019954,0.945116,1.010945,19.04,1037.8529,4.1847,2.8528,11.833551,8.662794,8.224342,
0.1,114.0,0.845844,1.1,1.9,179.78,813.34,2178.33,0.577642,0.000455,0.994961,0.897378,0.866424,20.26,1046.0866,4.115,2.853,11.88152,8.699089,8.257253,
0.1,115.0,0.845268,4.0,2.3,0.0,694.37,2165.87,0.578902,6e-05,0.999775,0.894842,0.962591,22.6,1054.3159,4.1122,2.8531,11.934382,8.739047,8.29384,
0.1,116.0,0.843672,3.7,3.4,0.0,25.63,2504.57,0.577501,0.0,0.999992,0.887524,2.749343,25.18,1062.536,4.1044,2.8536,12.080142,8.848724,8.400466,
0.1,117.0,0.842868,0.3,2.8,2400.0,18.14,2562.81,0.176736,0.0,3e-06,0.883672,1.691003,15.56,1070.7523,4.1005,2.8538,12.169857,8.916293,8.464827,
0.1,118.0,0.842151,2.3,1.7,0.46,1067.72,2167.72,0.572599,0.000985,0.990444,0.880137,0.829627,19.75,1078.9495,4.097,2.854,12.214749,8.950282,8.495454,
0.02,119.0,0.853812,1.5,2.3,14.43,678.98,3020.1,0.371974,2e-05,0.466286,0.927257,1.015549,19.9,1087.2622,4.1537,2.8541,12.269136,8.991356,8.53307,
0.1,120.0,0.842145,3.6,0.2,0.0,10800.0,2078.02,0.189753,0.034327,0.0,0.880109,0.658899,10.74,1095.4676,4.097,2.8543,12.304975,9.01845,8.556913,
0.1,121.0,0.839622,4.0,3.2,0.0,33.11,2499.45,0.573383,0.0,0.999991,0.866932,2.726496,25.16,1103.6465,4.0847,2.8547,12.445493,9.124373,8.659817,
0.05,122.0,0.845789,2.3,3.8,0.44,15.08,2883.98,0.579294,0.0,0.999666,0.897136,2.776698,22.85,1111.911,4.1147,2.8551,12.587184,9.231083,8.763443,
0.01,123.0,0.850192,2.1,3.5,1.12,21.71,3728.28,0.332939,0.0,0.374932,0.91483,2.811961,20.33,1120.2025,4.1361,2.8555,12.729178,9.338046,8.867281,
0.1,124.0,0.834991,2.4,3.2,0.25,32.07,2498.35,0.567911,0.0,0.999992,0.839574,2.72647,24.5,1128.3353,4.0622,2.8559,12.86532,9.440792,8.967035,
0.1,125.0,0.834444,2.2,1.7,0.67,1051.13,2168.67,0.564226,0.000736,0.9918,0.836061,0.843505,19.86,1136.4574,4.0595,2.8561,12.908664,9.473683,8.99662,
