Rate_Stage1(C),Rate_Stage2(C),Terminal_Current(C),Cycle,SOH(measured),Stage1_Time(s),Stage2_Time(s),Stage3_Time(s),Avg Temp(°C),Throughput(Ah),Discharge Cap(Ah),Terminal V(V),LLI(%),LAM_neg(%),LAM_pos(%)
4.0,4.0,0.01,26,0.97502,0.0,343.38,2655.52,36.96,283.3911,4.7434,2.7732,1.833693,1.048184,0.989961
4.0,4.0,0.01,27,0.974211,0.0,340.22,2658.69,36.99,292.8757,4.7394,2.7734,1.90432,1.09122,1.030821
4.0,4.0,0.01,28,0.973404,0.0,338.16,2660.87,37.0,302.3522,4.7355,2.7736,1.974744,1.134181,1.07161
4.0,4.0,0.01,29,0.9726,0.0,336.92,2662.04,37.01,311.8213,4.7316,2.7738,2.044977,1.177074,1.112335
4.0,4.0,0.01,30,0.971798,0.0,335.72,2663.29,37.02,321.2824,4.7277,2.774,2.115032,1.219907,1.153004
4.0,4.0,0.01,31,0.970998,0.0,334.26,2664.91,37.03,330.7358,4.7238,2.7742,2.18492,1.262686,1.193625
4.0,4.0,0.01,32,0.9702,0.0,332.05,2667.3,37.05,340.1818,4.7199,2.7743,2.254651,1.305418,1.234202
4.0,4.0,0.01,33,0.969403,0.0,331.07,2668.48,37.06,349.6202,4.7161,2.7745,2.324237,1.348109,1.274743
4.0,4.0,0.01,34,0.968609,0.0,330.17,2669.62,37.07,359.0512,4.7122,2.7747,2.393689,1.390766,1.315254
4.0,4.0,0.01,35,0.967816,0.0,329.25,2670.81,37.07,368.4739,4.7083,2.7749,2.463019,1.433397,1.355742
4.0,4.0,0.01,36,0.967024,0.0,328.25,2672.09,37.08,377.8887,4.7045,2.7751,2.532237,1.476006,1.396214
4.0,4.0,0.01,37,0.966233,0.0,327.02,2673.61,37.09,387.2956,4.7006,2.7753,2.601354,1.518601,1.436676
4.0,4.0,0.01,38,0.965444,0.0,323.73,2677.18,37.12,396.6951,4.6968,2.7755,2.670378,1.561187,1.477133
4.0,4.0,0.01,39,0.964655,0.0,321.65,2679.42,37.13,406.0868,4.693,2.7756,2.73931,1.603763,1.517585
4.0,4.0,0.01,40,0.963868,0.0,320.34,2680.96,37.14,415.4712,4.6891,2.7758,2.808155,1.646333,1.558034
4.0,4.0,0.01,41,0.963081,0.0,319.11,2682.32,37.15,424.8483,4.6853,2.776,2.876921,1.6889,1.598485
4.0,4.0,0.01,42,0.962295,0.0,317.84,2683.7,37.17,434.2175,4.6815,2.7762,2.945619,1.731472,1.638945
4.0,4.0,0.01,43,0.96151,0.0,314.24,2687.36,37.19,443.5781,4.6777,2.7764,3.01426,1.774055,1.679422
4.0,4.0,0.01,44,0.960725,0.0,312.82,2688.81,37.2,452.9306,4.6738,2.7766,3.082852,1.816655,1.719919
4.0,4.0,0.01,45,0.95994,0.0,311.58,2690.09,37.21,462.2756,4.67,2.7767,3.151406,1.859278,1.760443
4.0,4.0,0.01,46,0.959156,0.0,310.18,2691.46,37.22,471.6132,4.6662,2.7769,3.219931,1.90193,1.801
4.0,4.0,0.01,47,0.958373,0.0,308.47,2693.14,37.24,480.9436,4.6624,2.7771,3.288441,1.94462,1.841599
4.0,4.0,0.01,48,0.957589,0.0,302.5,2699.01,37.28,490.265,4.6586,2.7773,3.356945,1.987353,1.882246
4.0,4.0,0.01,49,0.956806,0.0,300.98,2700.46,37.08,499.5787,4.6548,2.7775,3.42545,2.030134,1.922945
4.0,4.0,0.01,50,0.956022,0.0,299.42,2701.91,36.85,508.8851,4.651,2.7777,3.493969,2.07297,1.963704
4.0,4.0,0.01,51,0.955238,0.0,297.96,2703.24,36.87,518.1843,4.6471,2.7779,3.562509,2.115867,2.004528
4.0,4.0,0.01,52,0.954454,0.0,296.78,2704.27,36.88,527.4761,4.6433,2.778,3.631082,2.158831,2.045424
4.0,4.0,0.01,53,0.95367,0.0,295.54,2705.35,36.89,536.7603,4.6395,2.7782,3.699698,2.20187,2.086398
4.0,4.0,0.01,54,0.952885,0.0,294.02,2706.7,36.9,546.0371,4.6357,2.7784,3.768369,2.244991,2.127459
4.0,4.0,0.01,55,0.9521,0.0,290.18,2710.33,36.93,555.3064,4.6319,2.7786,3.837104,2.2882,2.168612
4.0,4.0,0.01,56,0.951314,0.0,287.28,2713.01,36.95,564.5684,4.6281,2.7788,3.905913,2.331503,2.209864
4.0,4.0,0.01,57,0.950526,0.0,285.79,2714.24,36.96,573.8225,4.6242,2.779,3.974806,2.374907,2.251221
4.0,4.0,0.01,58,0.949738,0.0,284.45,2715.36,36.97,583.0682,4.6204,2.7792,4.043792,2.418418,2.292689
4.0,4.0,0.01,59,0.948949,0.0,282.86,2716.68,36.98,592.306,4.6166,2.7793,4.112883,2.462042,2.334275
4.0,4.0,0.01,60,0.948159,0.0,279.26,2720.0,37.01,601.5359,4.6127,2.7795,4.182089,2.505788,2.375988
4.0,4.0,0.01,61,0.947368,0.0,277.33,2721.64,37.02,610.759,4.6089,2.7797,4.251422,2.549663,2.417832
4.0,4.0,0.01,62,0.946575,0.0,275.93,2722.63,37.03,619.9749,4.605,2.7799,4.320893,2.593673,2.459818
4.0,4.0,0.01,63,0.94578,0.0,274.63,2723.66,37.05,629.1829,4.6011,2.7801,4.390517,2.637829,2.501954
4.0,4.0,0.01,64,0.944984,0.0,273.15,2724.78,37.06,638.3831,4.5973,2.7803,4.460303,2.682138,2.544246
4.0,4.0,0.01,65,0.944186,0.0,270.7,2726.83,37.08,647.5751,4.5934,2.7805,4.530266,2.726608,2.586705
4.0,4.0,0.01,66,0.943386,0.0,268.19,2728.94,37.1,656.7597,4.5895,2.7807,4.60042,2.77125,2.62934
4.0,4.0,0.01,67,0.942583,0.0,263.04,2733.67,37.13,665.9358,4.5856,2.7809,4.670777,2.816071,2.672158
4.0,4.0,0.01,68,0.941779,0.0,261.74,2734.54,37.14,675.1037,4.5817,2.7811,4.74135,2.86108,2.71517
4.0,4.0,0.01,69,0.940972,0.0,260.88,2734.91,37.15,684.2641,4.5777,2.7813,4.812157,2.906289,2.758386
4.0,4.0,0.01,70,0.940162,0.0,217.83,2777.42,36.96,693.4143,4.5738,2.7814,4.883225,2.951716,2.801824
4.0,4.0,0.01,71,0.93935,0.0,215.68,2779.29,36.98,702.5581,4.5699,2.7816,4.954494,2.997321,2.845445
4.0,4.0,0.01,72,0.938537,0.0,214.26,2780.41,36.99,711.6956,4.5659,2.7818,5.025976,3.043111,2.889256
4.0,4.0,0.01,73,0.937721,0.0,213.36,2781.09,36.99,720.8254,4.5619,2.782,5.097686,3.089096,2.933267
4.0,4.0,0.01,74,0.936903,0.0,212.68,2781.61,37.0,729.9465,4.5579,2.7822,5.169636,3.135286,2.977486
4.0,4.0,0.01,75,0.936082,0.0,212.07,2782.02,37.01,739.0589,4.554,2.7824,5.241843,3.18169,3.021925
4.0,4.0,0.01,76,0.935259,0.0,211.45,2782.66,37.01,748.164,4.55,2.7826,5.314321,3.228319,3.066593
4.0,4.0,0.01,77,0.934433,0.0,210.76,2783.23,37.02,757.2612,4.5459,2.7828,5.387085,3.275182,3.111501
4.0,4.0,0.01,78,0.933604,0.0,209.91,2784.02,37.03,766.3506,4.5419,2.783,5.46015,3.322291,3.156658
4.0,4.0,0.01,79,0.932771,0.0,208.88,2785.08,37.04,775.4325,4.5378,2.7832,5.533533,3.369656,3.202077
4.0,4.0,0.01,80,0.931935,0.0,207.94,2785.92,37.05,784.5073,4.5338,2.7834,5.607253,3.41729,3.24777
4.0,4.0,0.01,81,0.931095,0.0,198.6,2795.27,37.09,793.5745,4.5297,2.7836,5.68132,3.465202,3.293745
4.0,4.0,0.01,82,0.930251,0.0,197.01,2796.83,37.1,802.6337,4.5256,2.7838,5.755751,3.513401,3.340013
4.0,4.0,0.01,83,0.929403,0.0,195.89,2797.95,37.11,811.6852,4.5215,2.7841,5.830568,3.561904,3.386588
4.0,4.0,0.01,84,0.92855,0.0,195.08,2798.65,37.12,820.7293,4.5173,2.7843,5.905794,3.610725,3.433488
4.0,4.0,0.01,85,0.927693,0.0,194.46,2799.17,37.12,829.7654,4.5131,2.7845,5.981454,3.659883,3.480729
4.0,4.0,0.01,86,0.926831,0.0,193.94,2799.7,37.13,838.7929,4.5089,2.7847,6.057576,3.709397,3.528331
4.0,4.0,0.01,87,0.925963,0.0,193.51,2800.14,37.14,847.8125,4.5047,2.7849,6.134191,3.759288,3.576316
4.0,4.0,0.01,88,0.92509,0.0,193.17,2800.43,37.14,856.8236,4.5005,2.7851,6.211332,3.80958,3.624706
4.0,4.0,0.01,89,0.92421,0.0,192.88,2800.66,37.15,865.8257,4.4962,2.7853,6.289039,3.860298,3.673528
4.0,4.0,0.01,90,0.923324,0.0,192.53,2800.82,37.16,874.8186,4.4919,2.7855,6.367349,3.91147,3.722809
4.0,4.0,0.01,91,0.922431,0.0,192.05,2801.3,37.17,883.8035,4.4875,2.7858,6.446305,3.963125,3.772579
4.0,4.0,0.01,92,0.92153,0.0,191.34,2801.86,37.18,892.7795,4.4832,2.786,6.525954,4.015296,3.82287
4.0,4.0,0.01,93,0.920621,0.0,190.39,2802.67,37.19,901.7463,4.4787,2.7862,6.606345,4.068017,3.873718
4.0,4.0,0.01,94,0.919704,0.0,189.15,2803.78,37.2,910.7047,4.4743,2.7864,6.687536,4.121328,3.92516
4.0,4.0,0.01,95,0.918776,0.0,187.5,2805.31,37.21,919.6534,4.4698,2.7867,6.769587,4.175271,3.977241
4.0,4.0,0.01,96,0.917839,0.0,181.39,2811.17,37.24,928.5893,4.4652,2.7869,6.852561,4.229891,4.030004
4.0,4.0,0.01,97,0.916891,0.0,177.15,2815.3,37.13,937.5142,4.4606,2.7871,6.936522,4.285231,4.083494
4.0,4.0,0.01,98,0.915931,0.0,175.58,2816.72,37.15,946.4298,4.4559,2.7874,7.021551,4.341347,4.137766
4.0,4.0,0.01,99,0.914958,0.0,167.82,2824.05,36.97,955.3364,4.4512,2.7876,7.10773,4.398299,4.192881
4.0,4.0,0.01,100,0.913971,0.0,165.81,2825.78,36.98,964.2331,4.4464,2.7879,7.19516,4.456155,4.248906
4.0,4.0,0.01,101,0.91297,0.0,163.33,2827.99,37.0,973.1203,4.4415,2.7881,7.283954,4.514995,4.305923
4.0,4.0,0.01,102,0.911952,0.0,159.32,2831.71,37.02,981.9983,4.4366,2.7884,7.37424,4.574908,4.36402
4.0,4.0,0.01,103,0.910916,0.0,156.34,2834.22,37.04,990.8662,4.4315,2.7886,7.466153,4.635989,4.423292
4.0,4.0,0.01,104,0.90986,0.0,136.78,2853.13,37.1,999.7263,4.4264,2.7889,7.559809,4.698319,4.483821
4.0,4.0,0.01,105,0.908881,0.0,31.93,2958.48,36.66,1008.5798,4.4216,2.7891,7.646941,4.756179,4.539875
4.0,4.0,0.01,106,0.907897,0.0,31.51,2958.46,36.66,1017.4248,4.4168,2.7894,7.734251,4.814204,4.5961
4.0,4.0,0.01,107,0.906911,0.0,30.89,2958.54,36.67,1026.2612,4.412,2.7896,7.821743,4.872396,4.652496
4.0,4.0,0.01,108,0.905923,0.0,30.32,2958.19,36.67,1035.0888,4.4072,2.7899,7.90942,4.930756,4.709065
4.0,4.0,0.01,109,0.90494,0.0,29.96,2959.28,36.67,1043.907,4.4024,2.7901,7.997294,4.989292,4.765817
4.0,4.0,0.01,110,0.903957,0.0,29.57,2961.35,36.67,1052.7158,4.3977,2.7904,8.085373,5.04801,4.822755
4.0,4.0,0.01,111,0.902973,0.0,29.14,2963.6,36.67,1061.5149,4.3929,2.7906,8.173663,5.106915,4.879884
4.0,4.0,0.01,112,0.901987,0.0,28.62,2966.12,36.67,1070.3044,4.3881,2.7909,8.262171,5.166011,4.93721
4.0,4.0,0.01,113,0.900999,0.0,28.07,2968.54,36.67,1079.0845,4.3833,2.7911,8.350905,5.225302,4.994737
4.0,4.0,0.01,114,0.900009,0.0,27.53,2971.06,36.67,1087.8556,4.3785,2.7914,8.439869,5.284793,5.052469
4.0,4.0,0.01,115,0.899016,0.0,27.01,2973.6,36.68,1096.618,4.3736,2.7916,8.529071,5.344488,5.11041
4.0,4.0,0.01,116,0.898021,0.0,26.51,2976.27,36.68,1105.3712,4.3688,2.7919,8.618519,5.404394,5.168567
4.0,4.0,0.01,117,0.897024,0.0,26.02,2978.83,36.68,1114.1148,4.3639,2.7922,8.708221,5.464516,5.226946
4.0,4.0,0.01,118,0.896024,0.0,25.56,2981.76,36.68,1122.8489,4.3591,2.7924,8.798187,5.524861,5.285552
4.0,4.0,0.01,119,0.895021,0.0,25.12,2984.6,36.68,1131.5737,4.3542,2.7927,8.888426,5.585435,5.344393
4.0,4.0,0.01,120,0.894015,0.0,24.69,2987.67,36.69,1140.2889,4.3493,2.793,8.978947,5.646245,5.403475
4.0,4.0,0.01,121,0.893006,0.0,24.28,2990.97,36.69,1148.9944,4.3444,2.7932,9.069764,5.7073,5.462808
4.0,4.0,0.01,122,0.891994,0.0,23.88,2994.48,36.69,1157.6903,4.3395,2.7935,9.16089,5.768609,5.5224
4.0,4.0,0.01,123,0.890978,0.0,23.5,2998.17,36.7,1166.3767,4.3345,2.7938,9.252339,5.830183,5.582263
4.0,4.0,0.01,124,0.889959,0.0,23.12,3002.0,36.5,1175.0542,4.3296,2.794,9.344127,5.892033,5.642406
4.0,4.0,0.01,125,0.888937,0.0,22.76,3006.32,36.5,1183.7226,4.3246,2.7943,9.436272,5.954171,5.702844
4.0,4.0,0.01,126,0.88791,0.0,22.41,3011.02,36.51,1192.3823,4.3196,2.7946,9.528794,6.016612,5.76359
4.0,4.0,0.01,127,0.88688,0.0,22.07,3016.18,36.51,1201.0335,4.3146,2.7948,9.621711,6.079368,5.824656
4.0,4.0,0.01,128,0.885845,0.0,21.73,3021.92,36.52,1209.6755,4.3096,2.7951,9.715047,6.142455,5.88606
4.0,4.0,0.01,129,0.884807,0.0,21.41,3028.46,36.52,1218.3074,4.3045,2.7954,9.808824,6.205891,5.947817
4.0,4.0,0.01,130,0.883763,0.0,21.09,3035.63,36.53,1226.9289,4.2994,2.7957,9.903069,6.269693,6.009947
4.0,4.0,0.01,131,0.882712,0.0,20.78,3042.79,36.53,1235.5401,4.2943,2.796,9.997808,6.33388,6.072468
4.0,4.0,0.01,132,0.881652,0.0,20.47,3049.65,36.54,1244.1411,4.2892,2.7962,10.09307,6.398473,6.135401
4.0,4.0,0.01,133,0.880585,0.0,20.17,3056.41,36.54,1252.7319,4.284,2.7965,10.188885,6.463493,6.198766
4.0,4.0,0.01,134,0.879509,0.0,19.87,3063.14,36.36,1261.3128,4.2787,2.7968,10.285285,6.528963,6.262588
4.0,4.0,0.01,135,0.878426,0.0,19.58,3069.97,36.36,1269.884,4.2735,2.7971,10.382308,6.59491,6.326892
4.0,4.0,0.01,136,0.877335,0.0,19.3,3076.88,36.37,1278.4454,4.2682,2.7974,10.479992,6.661361,6.391707
4.0,4.0,0.01,137,0.876235,0.0,19.01,3083.94,36.38,1286.9965,4.2628,2.7977,10.578379,6.728346,6.457062
4.0,4.0,0.01,138,0.875126,0.0,18.73,3091.18,36.39,1295.5374,4.2574,2.798,10.677519,6.7959,6.522992
4.0,4.0,0.01,139,0.874008,0.0,18.46,3098.56,36.4,1304.068,4.252,2.7983,10.77746,6.864058,6.589533
4.0,4.0,0.01,140,0.87288,0.0,18.19,3106.37,36.4,1312.5879,4.2465,2.7986,10.878262,6.932862,6.656727
